userid,key,summary,agent1,agent2,selection,worstAgent,betterAgent,value,time,comparisonType
82d3ff1d,confidence,max,400,2000,2000,400,2000,5,1.50818E+12,2
27b3ff1c,confidence,random,400,200,400,200,400,7,1.50818E+12,1
81a3fb25,confidence,maxdiv,2000,400,2000,400,2000,4,1.50818E+12,2
27b3ff1c,confidence,max,2000,400,2000,400,2000,7,1.50818E+12,2
82d3ff1d,confidence,maxdiv,400,200,400,200,400,5,1.50818E+12,1
8ba3fb7b,confidence,max,200,400,400,200,400,5,1.50818E+12,1
81a3fb25,confidence,maxdiv,400,200,400,200,400,5,1.50818E+12,1
b1c3fd1f,confidence,maxdiv,400,200,400,200,400,6,1.50818E+12,1
82d3ff1d,confidence,maxdiv,2000,200,2000,200,2000,5,1.50818E+12,3
82d3ff1d,confidence,maxdiv,400,2000,2000,400,2000,4,1.50818E+12,2
82d3ff1d,confidence,random,400,2000,400,400,2000,5,1.50818E+12,2
8ba3fb7b,confidence,max,200,2000,200,200,2000,5,1.50818E+12,3
b1c3fd1f,confidence,random,2000,200,200,200,2000,5,1.50818E+12,3
82d3ff1d,confidence,max,400,200,400,200,400,3,1.50818E+12,1
82d3ff1d,confidence,random,2000,200,200,200,2000,4,1.50818E+12,3
41b40082,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
8ba3fb7b,confidence,random,200,400,200,200,400,6,1.50818E+12,1
82d3ff1d,confidence,max,200,2000,2000,200,2000,5,1.50818E+12,3
82d3ff1d,confidence,random,200,400,200,200,400,5,1.50818E+12,1
fab400c5,confidence,random,200,400,200,200,400,6,1.50818E+12,1
41b40082,confidence,random,200,400,200,200,400,4,1.50818E+12,1
31a4008b,confidence,random,200,400,200,200,400,7,1.50818E+12,1
25e400f5,confidence,random,400,2000,2000,400,2000,6,1.50818E+12,2
b1c3fd1f,confidence,random,200,400,200,200,400,6,1.50818E+12,1
fab400c5,confidence,max,400,200,200,200,400,6,1.50818E+12,1
8ba3fb7b,confidence,maxdiv,400,200,400,200,400,5,1.50818E+12,1
25e400f5,confidence,maxdiv,2000,400,2000,400,2000,5,1.50818E+12,2
41b40082,confidence,max,2000,400,400,400,2000,1,1.50818E+12,2
31a4008b,confidence,max,200,2000,2000,200,2000,7,1.50818E+12,3
b1c3fd1f,confidence,max,2000,200,2000,200,2000,6,1.50818E+12,3
fab400c5,confidence,maxdiv,2000,400,400,400,2000,5,1.50818E+12,2
25e400f5,confidence,maxdiv,200,400,400,200,400,7,1.50818E+12,1
31a4008b,confidence,random,200,2000,200,200,2000,7,1.50818E+12,3
41b40082,confidence,max,200,400,200,200,400,1,1.50818E+12,1
fab400c5,confidence,random,2000,200,200,200,2000,6,1.50818E+12,3
b1c3fd1f,confidence,max,200,400,400,200,400,5,1.50818E+12,1
31a4008b,confidence,maxdiv,2000,400,2000,400,2000,7,1.50818E+12,2
8ba3fb7b,confidence,maxdiv,400,2000,2000,400,2000,3,1.50818E+12,2
41b40082,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
31a4008b,confidence,maxdiv,400,200,400,200,400,7,1.50818E+12,1
25e400f5,confidence,random,2000,200,2000,200,2000,4,1.50818E+12,3
b1c3fd1f,confidence,maxdiv,2000,400,2000,400,2000,5,1.50818E+12,2
fab400c5,confidence,maxdiv,400,200,400,200,400,7,1.50818E+12,1
31a4008b,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
25e400f5,confidence,max,400,2000,2000,400,2000,7,1.50818E+12,2
41b40082,confidence,random,200,2000,200,200,2000,5,1.50818E+12,3
b1c3fd1f,confidence,random,400,2000,2000,400,2000,5,1.50818E+12,2
fab400c5,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
8ba3fb7b,confidence,random,2000,200,200,200,2000,5,1.50818E+12,3
31a4008b,confidence,random,400,2000,400,400,2000,6,1.50818E+12,2
b1c3fd1f,confidence,maxdiv,2000,200,2000,200,2000,6,1.50818E+12,3
fab400c5,confidence,random,400,2000,2000,400,2000,6,1.50818E+12,2
41b40082,confidence,maxdiv,200,2000,2000,200,2000,5,1.50818E+12,3
25e400f5,confidence,random,200,400,200,200,400,3,1.50818E+12,1
31a4008b,confidence,max,200,400,400,200,400,4,1.50818E+12,1
b1c3fd1f,confidence,max,2000,400,2000,400,2000,6,1.50818E+12,2
b2a40232,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
41b40082,confidence,maxdiv,400,2000,2000,400,2000,4,1.50818E+12,2
fab400c5,confidence,max,2000,400,2000,400,2000,6,1.50818E+12,2
25e400f5,confidence,max,200,2000,2000,200,2000,5,1.50818E+12,3
31a4008b,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
fab400c5,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
25e400f5,confidence,max,200,400,200,200,400,4,1.50818E+12,1
41b40082,confidence,random,2000,400,400,400,2000,4,1.50818E+12,2
25e400f5,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
b2a40232,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
50a40474,confidence,maxdiv,2000,400,2000,400,2000,7,1.50818E+12,2
50a40474,confidence,maxdiv,200,2000,2000,200,2000,6,1.50818E+12,3
50a40474,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
50a40474,confidence,random,200,2000,2000,200,2000,5,1.50818E+12,3
cdd404e4,confidence,max,2000,400,2000,400,2000,2,1.50818E+12,2
b2a40232,confidence,maxdiv,400,2000,400,400,2000,3,1.50818E+12,2
50a40474,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
cdd404e4,confidence,random,200,2000,200,200,2000,4,1.50818E+12,3
50a40474,confidence,max,200,400,200,200,400,4,1.50818E+12,1
cdd404e4,confidence,maxdiv,2000,400,400,400,2000,4,1.50818E+12,2
50a40474,confidence,random,400,2000,2000,400,2000,5,1.50818E+12,2
cdd404e4,confidence,random,400,200,200,200,400,4,1.50818E+12,1
b2a40232,confidence,random,400,200,200,200,400,4,1.50818E+12,1
50a40474,confidence,random,200,400,200,200,400,6,1.50818E+12,1
cdd404e4,confidence,maxdiv,400,200,200,200,400,2,1.50818E+12,1
50a40474,confidence,max,200,2000,2000,200,2000,6,1.50818E+12,3
cdd404e4,confidence,max,2000,200,200,200,2000,4,1.50818E+12,3
cdd404e4,confidence,max,400,200,400,200,400,2,1.50818E+12,1
cdd404e4,confidence,maxdiv,200,2000,200,200,2000,5,1.50818E+12,3
cdd404e4,confidence,random,400,2000,2000,400,2000,4,1.50818E+12,2
3de40617,confidence,maxdiv,400,2000,400,400,2000,6,1.50818E+12,2
3de40617,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
3de40617,confidence,max,200,2000,2000,200,2000,5,1.50818E+12,3
2ee4067a,confidence,random,200,400,400,200,400,7,1.50818E+12,1
b2a40232,confidence,max,2000,400,2000,400,2000,3,1.50818E+12,2
32d4068d,confidence,maxdiv,200,400,400,200,400,6,1.50818E+12,1
3de40617,confidence,random,200,2000,2000,200,2000,6,1.50818E+12,3
b2a40232,confidence,maxdiv,200,400,400,200,400,4,1.50818E+12,1
3de40617,confidence,maxdiv,200,400,400,200,400,6,1.50818E+12,1
8ba40679,confidence,random,200,400,400,200,400,1,1.50818E+12,1
32d4068d,confidence,maxdiv,2000,400,400,400,2000,5,1.50818E+12,2
3de40617,confidence,random,400,2000,400,400,2000,4,1.50818E+12,2
b2a40232,confidence,max,400,200,200,200,400,3,1.50818E+12,1
2ee4067a,confidence,maxdiv,400,2000,2000,400,2000,5,1.50818E+12,2
8ba40679,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
3de40617,confidence,max,400,200,200,200,400,1,1.50818E+12,1
32d4068d,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
8ba40679,confidence,random,2000,400,2000,400,2000,7,1.50818E+12,2
2ee4067a,confidence,max,200,2000,2000,200,2000,6,1.50818E+12,3
3de40617,confidence,max,2000,400,400,400,2000,5,1.50818E+12,2
b2a40232,confidence,random,400,2000,2000,400,2000,3,1.50818E+12,2
8ba40679,confidence,random,2000,200,2000,200,2000,7,1.50818E+12,3
32d4068d,confidence,random,2000,400,2000,400,2000,4,1.50818E+12,2
3de40617,confidence,random,400,200,400,200,400,5,1.50818E+12,1
2ee4067a,confidence,maxdiv,200,400,400,200,400,6,1.50818E+12,1
8ba40679,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
32d4068d,confidence,max,400,200,400,200,400,4,1.50818E+12,1
2ee4067a,confidence,maxdiv,2000,200,2000,200,2000,6,1.50818E+12,3
b2a40232,confidence,random,200,2000,2000,200,2000,3,1.50818E+12,3
8ba40679,confidence,maxdiv,2000,400,2000,400,2000,6,1.50818E+12,2
2ee4067a,confidence,max,400,2000,2000,400,2000,5,1.50818E+12,2
32d4068d,confidence,max,200,2000,2000,200,2000,6,1.50818E+12,3
8ba40679,confidence,max,400,200,200,200,400,5,1.50818E+12,1
32d4068d,confidence,maxdiv,200,2000,2000,200,2000,6,1.50818E+12,3
2ee4067a,confidence,random,2000,400,2000,400,2000,4,1.50818E+12,2
8ba40679,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
2ee4067a,confidence,random,200,2000,2000,200,2000,7,1.50818E+12,3
8ba40679,confidence,max,2000,200,2000,200,2000,7,1.50818E+12,3
32d4068d,confidence,random,200,400,200,200,400,4,1.50818E+12,1
32d4068d,confidence,random,200,2000,2000,200,2000,6,1.50818E+12,3
2ee4067a,confidence,max,200,400,400,200,400,5,1.50818E+12,1
e9af994f,confidence,random,400,2000,2000,400,2000,5,1.50894E+12,2
e9af994f,confidence,maxdiv,200,400,400,200,400,4,1.50894E+12,1
e9af994f,confidence,maxdiv,400,2000,2000,400,2000,6,1.50894E+12,2
e9af994f,confidence,max,400,2000,2000,400,2000,5,1.50894E+12,2
e9af994f,confidence,random,2000,200,2000,200,2000,5,1.50894E+12,3
e9af994f,confidence,random,400,200,200,200,400,3,1.50894E+12,1
e9af994f,confidence,max,400,200,400,200,400,2,1.50894E+12,1
e9af994f,confidence,maxdiv,2000,200,2000,200,2000,5,1.50894E+12,3
e9af994f,confidence,max,200,2000,2000,200,2000,5,1.50894E+12,3
48cf9b18,confidence,random,400,200,400,200,400,5,1.50894E+12,1
48cf9b18,confidence,maxdiv,2000,200,200,200,2000,6,1.50894E+12,3
20df9ba1,confidence,random,200,400,400,200,400,7,1.50894E+12,1
58cf9b86,confidence,maxdiv,400,200,400,200,400,4,1.50894E+12,1
20df9ba1,confidence,random,200,2000,2000,200,2000,7,1.50894E+12,3
48cf9b18,confidence,maxdiv,200,400,400,200,400,7,1.50894E+12,1
58cf9b86,confidence,max,400,2000,2000,400,2000,4,1.50894E+12,2
20df9ba1,confidence,max,200,2000,2000,200,2000,7,1.50894E+12,3
23ff9bbe,confidence,random,2000,200,200,200,2000,5,1.50894E+12,3
48cf9b18,confidence,random,200,2000,2000,200,2000,5,1.50894E+12,3
58cf9b86,confidence,random,2000,400,2000,400,2000,4,1.50894E+12,2
20df9ba1,confidence,maxdiv,200,2000,2000,200,2000,7,1.50894E+12,3
23ff9bbe,confidence,max,200,2000,2000,200,2000,6,1.50894E+12,3
48cf9b18,confidence,max,2000,200,2000,200,2000,5,1.50894E+12,3
3fef9c07,confidence,maxdiv,200,2000,2000,200,2000,6,1.50894E+12,3
58cf9b86,confidence,random,200,400,200,200,400,4,1.50894E+12,1
48cf9b18,confidence,max,400,200,400,200,400,4,1.50894E+12,1
23ff9bbe,confidence,random,200,400,200,200,400,5,1.50894E+12,1
58cf9b86,confidence,max,200,2000,2000,200,2000,4,1.50894E+12,3
9ccf9bfc,confidence,max,200,2000,200,200,2000,6,1.50894E+12,3
3fef9c07,confidence,maxdiv,200,400,400,200,400,5,1.50894E+12,1
20df9ba1,confidence,maxdiv,400,200,200,200,400,2,1.50894E+12,1
58cf9b86,confidence,max,200,400,400,200,400,4,1.50894E+12,1
23ff9bbe,confidence,max,200,400,400,200,400,7,1.50894E+12,1
48cf9b18,confidence,maxdiv,400,2000,2000,400,2000,6,1.50894E+12,2
3fef9c07,confidence,random,2000,200,200,200,2000,6,1.50894E+12,3
58cf9b86,confidence,maxdiv,2000,200,2000,200,2000,4,1.50894E+12,3
20df9ba1,confidence,random,400,2000,2000,400,2000,5,1.50894E+12,2
48cf9b18,confidence,max,400,2000,2000,400,2000,5,1.50894E+12,2
23ff9bbe,confidence,maxdiv,200,2000,2000,200,2000,7,1.50894E+12,3
58cf9b86,confidence,maxdiv,2000,400,2000,400,2000,4,1.50894E+12,2
9ccf9bfc,confidence,max,400,200,200,200,400,4,1.50894E+12,1
3fef9c07,confidence,maxdiv,2000,400,400,400,2000,5,1.50894E+12,2
20df9ba1,confidence,max,2000,400,2000,400,2000,7,1.50894E+12,2
23ff9bbe,confidence,maxdiv,400,200,400,200,400,,1.50894E+12,1
48cf9b18,confidence,random,400,2000,2000,400,2000,4,1.50894E+12,2
58cf9b86,confidence,random,200,2000,2000,200,2000,4,1.50894E+12,3
3fef9c07,confidence,random,200,400,200,200,400,5,1.50894E+12,1
9ccf9bfc,confidence,random,400,2000,2000,400,2000,6,1.50894E+12,2
23ff9bbe,confidence,random,2000,400,2000,400,2000,7,1.50894E+12,2
20df9ba1,confidence,max,200,400,200,200,400,1,1.50894E+12,1
3fef9c07,confidence,random,2000,400,2000,400,2000,5,1.50894E+12,2
20df9ba1,confidence,maxdiv,400,2000,2000,400,2000,7,1.50894E+12,2
3fef9c07,confidence,max,2000,400,2000,400,2000,5,1.50894E+12,2
23ff9bbe,confidence,max,2000,400,2000,400,2000,5,1.50894E+12,2
cbaf9d33,confidence,maxdiv,200,400,400,200,400,5,1.50894E+12,1
3fef9c07,confidence,max,2000,200,200,200,2000,5,1.50894E+12,3
9ccf9bfc,confidence,random,200,2000,200,200,2000,6,1.50894E+12,3
23ff9bbe,confidence,maxdiv,2000,400,2000,400,2000,7,1.50894E+12,2
3fef9c07,confidence,max,400,200,400,200,400,5,1.50894E+12,1
cbaf9d33,confidence,maxdiv,2000,200,200,200,2000,5,1.50894E+12,3
9ccf9bfc,confidence,random,400,200,200,200,400,6,1.50894E+12,1
9ccf9bfc,confidence,maxdiv,400,200,200,200,400,4,1.50894E+12,1
cbaf9d33,confidence,random,400,2000,400,400,2000,4,1.50894E+12,2
9ccf9bfc,confidence,maxdiv,2000,200,2000,200,2000,6,1.50894E+12,3
cbaf9d33,confidence,random,2000,200,200,200,2000,6,1.50894E+12,3
cbaf9d33,confidence,max,2000,400,400,400,2000,6,1.50894E+12,2
9ccf9bfc,confidence,maxdiv,2000,400,400,400,2000,4,1.50894E+12,2
9ccf9bfc,confidence,max,400,2000,2000,400,2000,6,1.50894E+12,2
cbaf9d33,confidence,max,400,200,200,200,400,5,1.50894E+12,1
cbaf9d33,confidence,maxdiv,2000,400,400,400,2000,5,1.50894E+12,2
cbaf9d33,confidence,random,400,200,400,200,400,4,1.50894E+12,1
cbaf9d33,confidence,max,200,2000,200,200,2000,5,1.50894E+12,3
66af9f72,confidence,max,200,2000,200,200,2000,6,1.50894E+12,3
66af9f72,confidence,maxdiv,2000,200,2000,200,2000,6,1.50894E+12,3
66af9f72,confidence,random,200,400,400,200,400,5,1.50894E+12,1
66af9f72,confidence,maxdiv,400,200,400,200,400,5,1.50894E+12,1
66af9f72,confidence,maxdiv,2000,400,2000,400,2000,4,1.50894E+12,2
66af9f72,confidence,random,2000,400,400,400,2000,4,1.50894E+12,2
66af9f72,confidence,max,400,200,200,200,400,6,1.50894E+12,1
66af9f72,confidence,random,200,2000,2000,200,2000,6,1.50894E+12,3
66af9f72,confidence,max,400,2000,400,400,2000,5,1.50894E+12,2
bacfa6e2,confidence,maxdiv,200,2000,2000,200,2000,6,1.50894E+12,3
bacfa6e2,confidence,random,400,2000,400,400,2000,5,1.50894E+12,2
bacfa6e2,confidence,max,200,400,200,200,400,5,1.50894E+12,1
bacfa6e2,confidence,max,400,2000,2000,400,2000,6,1.50894E+12,2
bacfa6e2,confidence,random,2000,200,2000,200,2000,5,1.50894E+12,3
bacfa6e2,confidence,maxdiv,400,200,400,200,400,4,1.50894E+12,1
bacfa6e2,confidence,maxdiv,2000,400,2000,400,2000,7,1.50894E+12,2
bacfa6e2,confidence,max,200,2000,2000,200,2000,4,1.50894E+12,3
bacfa6e2,confidence,random,200,400,400,200,400,5,1.50894E+12,1
