userid,key,summary,agent1,agent2,selected,value,time,correct,betterAgent,worseAgent,comparisonType
4dd3e872,correct,random,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
60a3e922,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
3db3e922,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
60a3e922,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,random,400,200,400,TRUE,1.50817E+12,1,400,200,1
6bd3e974,correct,max,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
dfd3e9ba,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
3db3e922,correct,maxdiv,400,200,400,TRUE,1.50817E+12,1,400,200,1
4dd3e872,correct,maxdiv,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
c1a3e969,correct,maxdiv,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
dfd3e9ba,correct,maxdiv,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
6bd3e974,correct,random,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
60a3e922,correct,maxdiv,200,2000,200,FALSE,1.50817E+12,0,2000,200,3
60a3e922,correct,random,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
6dd3e960,correct,random,200,400,400,TRUE,1.50817E+12,1,400,200,1
3db3e922,correct,maxdiv,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
dfd3e9ba,correct,maxdiv,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
c1a3e969,correct,max,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
60a3e922,correct,maxdiv,200,400,200,FALSE,1.50817E+12,0,400,200,1
6bd3e974,correct,maxdiv,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
60a3e922,correct,random,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
60a3e922,correct,random,200,400,400,TRUE,1.50817E+12,1,400,200,1
dfd3e9ba,correct,max,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
4dd3e872,correct,max,200,2000,200,FALSE,1.50817E+12,0,2000,200,3
6bd3e974,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,random,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
6dd3e960,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
3db3e922,correct,random,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
60a3e922,correct,max,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
c5a3ea5b,correct,maxdiv,400,200,400,TRUE,1.50817E+12,1,400,200,1
60a3e922,correct,max,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
4dd3e872,correct,maxdiv,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
dfd3e9ba,correct,random,400,200,200,FALSE,1.50817E+12,0,400,200,1
6bd3e974,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,maxdiv,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
dfd3e9ba,correct,max,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
6bd3e974,correct,max,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
3db3e922,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
6dd3e960,correct,random,400,2000,400,FALSE,1.50817E+12,0,2000,400,2
dfd3e9ba,correct,max,400,200,200,FALSE,1.50817E+12,0,400,200,1
6bd3e974,correct,random,400,200,200,FALSE,1.50817E+12,0,400,200,1
c1a3e969,correct,random,2000,200,2000,TRUE,1.50817E+12,1,2000,200,3
c5a3ea5b,correct,random,400,2000,400,FALSE,1.50817E+12,0,2000,400,2
4dd3e872,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
98b3eaef,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
dfd3e9ba,correct,random,2000,400,400,FALSE,1.50817E+12,0,2000,400,2
3db3e922,correct,max,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
6bd3e974,correct,random,2000,200,200,FALSE,1.50817E+12,0,2000,200,3
6dd3e960,correct,max,200,400,200,FALSE,1.50817E+12,0,400,200,1
c1a3e969,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
49f3ea04,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
c5a3e9ad,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
4dd3e872,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
dfd3e9ba,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
6dd3e960,correct,maxdiv,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,max,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
6bd3e974,correct,maxdiv,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
36e3e9b0,correct,maxdiv,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
3db3e922,correct,random,200,400,200,FALSE,1.50817E+12,0,400,200,1
98b3eaef,correct,maxdiv,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
c5a3ea5b,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
4dd3e872,correct,random,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
6dd3e960,correct,max,400,2000,2000,TRUE,1.50817E+12,1,2000,400,2
c5a3e9ad,correct,random,200,400,400,TRUE,1.50817E+12,1,400,200,1
c1a3e969,correct,max,200,400,400,TRUE,1.50817E+12,1,400,200,1
36e3e9b0,correct,random,200,2000,2000,TRUE,1.50817E+12,1,2000,200,3
4dd3e872,correct,max,2000,400,2000,TRUE,1.50817E+12,1,2000,400,2
98b3eaef,correct,random,200,2000,200,FALSE,1.50817E+12,0,2000,200,3
3db3e922,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
49f3ea04,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
6dd3e960,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
98b3eaef,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
4dd3e872,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
c5a3ea5b,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
3db3e922,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
36e3e9b0,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
6dd3e960,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
98b3eaef,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
c5a3e9ad,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
36e3e9b0,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
49f3ea04,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
36e3e9b0,correct,random,200,400,400,TRUE,1.50818E+12,1,400,200,1
6dd3e960,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
98b3eaef,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
adf3ecbe,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
36e3e9b0,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
c5a3e9ad,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
98b3eaef,correct,max,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
ccf3ec93,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
c5a3ea5b,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
adf3ecbe,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
36e3e9b0,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
49f3ea04,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
98b3eaef,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
c5a3e9ad,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
adf3ecbe,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
36e3e9b0,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
ccf3ec93,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
c5a3ea5b,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
98b3eaef,correct,max,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
27c3eced,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
a4e3ed86,correct,maxdiv,200,400,200,FALSE,1.50818E+12,0,400,200,1
a4e3ed86,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8fd3ed6a,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
36e3e9b0,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
a4e3ed86,correct,maxdiv,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
adf3ecbe,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
a4e3ed86,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
49f3ea04,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
a4e3ed86,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3e9ad,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
a4e3ed86,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
ccf3ec93,correct,maxdiv,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
a4e3ed86,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
27c3eced,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
a4e3ed86,correct,max,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
a4e3ed86,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
adf3ecbe,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3ea5b,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
ccf3ec93,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8fd3ed6a,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
adf3ecbe,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
84c3ee94,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
49f3ea04,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3e9ad,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
84c3ee94,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
27c3eced,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
adf3ecbe,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
8fd3ed6a,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
84c3ee94,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
ccf3ec93,correct,random,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
49f3ea04,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
c5a3ea5b,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
adf3ecbe,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
c5a3e9ad,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
27c3eced,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
84c3ee94,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
adf3ecbe,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
49f3ea04,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
8fd3ed6a,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
ccf3ec93,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
84c3ee94,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
27c3eced,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
84c3ee94,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
c5a3e9ad,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
84c3ee94,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3ea5b,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
ccf3ec93,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
84c3ee94,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
8fd3ed6a,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
27c3eced,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
49f3ea04,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
84c3ee94,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
27c3eced,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
ccf3ec93,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
8fd3ed6a,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
ccf3ec93,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
27c3eced,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
8fd3ed6a,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
8fd3ed6a,correct,maxdiv,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
8fd3ed6a,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
27c3eced,correct,max,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
81a3fb25,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
d7e3fcd1,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
81a3fb25,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
5df3fce6,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
d7e3fcd1,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
5df3fce6,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c1f3fce2,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
d7e3fcd1,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
53d3fd00,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
5df3fce6,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
81a3fb25,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
d7e3fcd1,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
8ba3fb7b,correct,max,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
c1f3fce2,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
53d3fd00,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
5df3fce6,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
5df3fce6,correct,maxdiv,200,400,200,FALSE,1.50818E+12,0,400,200,1
d7e3fcd1,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
53d3fd00,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
c1f3fce2,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
5df3fce6,correct,random,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
53d3fd00,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
d7e3fcd1,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
5df3fce6,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
c1f3fce2,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
d7e3fcd1,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
53d3fd00,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
5df3fce6,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
d7e3fcd1,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
81a3fb25,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
53d3fd00,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
5df3fce6,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8ba3fb7b,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
d7e3fcd1,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
c1f3fce2,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
53d3fd00,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
c1f3fce2,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
53d3fd00,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
53d3fd00,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
c1f3fce2,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
81a3fb25,correct,max,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
27b3ff1c,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
c1f3fce2,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
27b3ff1c,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
8ba3fb7b,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
27b3ff1c,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
81a3fb25,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
c1f3fce2,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
27b3ff1c,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
27b3ff1c,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
27b3ff1c,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
81a3fb25,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
27b3ff1c,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
82d3ff1d,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
27b3ff1c,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
81a3fb25,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
27b3ff1c,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
82d3ff1d,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
8ba3fb7b,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
81a3fb25,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
b1c3fd1f,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
82d3ff1d,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
82d3ff1d,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
82d3ff1d,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
8ba3fb7b,correct,max,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
b1c3fd1f,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
82d3ff1d,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
82d3ff1d,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
41b40082,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
8ba3fb7b,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
82d3ff1d,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
82d3ff1d,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
fab400c5,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
41b40082,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
31a4008b,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
25e400f5,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
b1c3fd1f,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
fab400c5,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
8ba3fb7b,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
25e400f5,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
41b40082,correct,max,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
31a4008b,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
b1c3fd1f,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
fab400c5,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
25e400f5,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
41b40082,correct,max,200,400,200,FALSE,1.50818E+12,0,400,200,1
fab400c5,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
b1c3fd1f,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8ba3fb7b,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
41b40082,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
